2025/02/27 04:21:04 Server is running on 0.0.0.0:5000

 ┌───────────────────────────────────────────────────┐ 
 │                   Fiber v2.52.6                   │ 
 │               http://127.0.0.1:5000               │ 
 │       (bound on host 0.0.0.0 and port 5000)       │ 
 │                                                   │ 
 │ Handlers ............ 44  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID ............. 23520 │ 
 └───────────────────────────────────────────────────┘ 

04:21:13 | 404 |    182.9355ms | 172.20.10.6 | GET | /file/67bf2d5ccbc380cb9d97f2a0 | -
04:21:14 | 404 |    179.5129ms | 172.20.10.6 | GET | /file/67be639feac3ffbc743db101 | -
04:21:14 | 404 |    253.3101ms | 172.20.10.6 | GET | /file/67bf179da1a826792e6bc98a | -
04:21:14 | 404 |    346.1933ms | 172.20.10.6 | GET | /file/67be5732aaf77170e90dac70 | -
04:21:15 | 404 |    421.2625ms | 172.20.10.6 | GET | /file/67be47221e01e13c1404d096 | -
04:21:15 | 404 |    523.3962ms | 172.20.10.6 | GET | /file/67be483b2a3e03bda5277b7e | -
04:21:15 | 404 |    623.3807ms | 172.20.10.6 | GET | /file/67be48512a3e03bda5277b82 | -
04:21:15 | 404 |    708.2688ms | 172.20.10.6 | GET | /file/67be48652a3e03bda5277b86 | -
04:21:15 | 404 |    621.0352ms | 172.20.10.6 | GET | /file/67be48792a3e03bda5277b8a | -
04:21:17 | 404 |    174.2773ms | 172.20.10.6 | GET | /file/67be4b1e7ad917c465daf0e6 | -
04:21:17 | 404 |    163.6793ms | 172.20.10.6 | GET | /file/67bdc5d820721ad8bb00dc79 | -
04:21:18 | 404 |    178.0244ms | 172.20.10.6 | GET | /file/67bdc64420721ad8bb00dc7d | -
04:21:18 | 404 |    162.9183ms | 172.20.10.6 | GET | /file/67be4e327ad917c465daf0ea | -
04:21:18 | 404 |    176.3971ms | 172.20.10.6 | GET | /file/67be1cb914df60ebd8cb4e6d | -
04:21:18 | 404 |    171.1514ms | 172.20.10.6 | GET | /file/67bf293e5b84ee3172467501 | -
04:21:18 | 404 |    196.0861ms | 172.20.10.6 | GET | /file/67bf1da1751617b264bf7a13 | -
04:21:18 | 404 |    186.2948ms | 172.20.10.6 | GET | /file/67bf1d143889e4baf0b3ce4a | -
04:21:18 | 404 |    199.8416ms | 172.20.10.6 | GET | /file/67be49aac9f7ec16d0de01f5 | -
04:21:18 | 404 |    162.3176ms | 172.20.10.6 | GET | /file/67be4a827ad917c465daf0de | -
04:21:18 | 404 |    183.8794ms | 172.20.10.6 | GET | /file/67be1c5914df60ebd8cb4e69 | -
04:21:18 | 404 |    161.4805ms | 172.20.10.6 | GET | /file/67bdc4b420721ad8bb00dc71 | -
04:21:18 | 404 |    187.7651ms | 172.20.10.6 | GET | /file/67bdc53c20721ad8bb00dc75 | -
04:21:19 | 404 |    156.3843ms | 172.20.10.6 | GET | /file/67bdcaf120721ad8bb00dcba | -
04:21:19 | 404 |    161.2011ms | 172.20.10.6 | GET | /file/67bdb6f1fb75de938a9502a2 | -
04:21:19 | 404 |    178.8503ms | 172.20.10.6 | GET | /file/67be15524ecf2ae2c1683c9e | -
04:21:19 | 404 |    164.9854ms | 172.20.10.6 | GET | /file/67be1731927731d1ac8c5852 | -
04:21:19 | 404 |    178.7383ms | 172.20.10.6 | GET | /file/67be19904d0f5b88e5dc363e | -
04:21:19 | 404 |    160.7723ms | 172.20.10.6 | GET | /file/67be496ec9f7ec16d0de01e9 | -
04:21:19 | 404 |    178.8543ms | 172.20.10.6 | GET | /file/67be4972c9f7ec16d0de01ed | -
04:21:19 | 404 |    172.8558ms | 172.20.10.6 | GET | /file/67be4993c9f7ec16d0de01f1 | -
04:21:20 | 404 |    175.9527ms | 172.20.10.6 | GET | /file/67bdc74920721ad8bb00dc92 | -
04:21:20 | 404 |    182.9473ms | 172.20.10.6 | GET | /file/67bf3753e77034e47795d148 | -
04:21:25 | 200 |      1.5148ms | 172.20.10.6 | GET | / | -
04:21:32 | 302 |    203.3552ms | 172.20.10.6 | POST | /login | -
2025/02/27 04:21:32 user id from cookie: 67a214625782fcef1e09dc7b
04:21:32 | 200 |    801.1283ms | 172.20.10.6 | GET | /my-products | -
2025/02/27 04:21:34 user id from cookie: 67a214625782fcef1e09dc7b
04:21:34 | 200 |    731.0093ms | 172.20.10.6 | GET | /my-products | -
04:21:36 | 404 |    190.3705ms | 172.20.10.6 | GET | /file/67ba395af9fe73c128678679 | -
04:21:36 | 404 |    164.8548ms | 172.20.10.6 | GET | /file/67ba3931f9fe73c128678671 | -
04:22:01 | 302 |   14.1376069s | 172.20.10.6 | POST | /login | -
04:22:21 | 400 |            0s | 172.20.10.6 | POST | /login | -
04:22:31 | 401 |    161.4639ms | 172.20.10.6 | POST | /login | -
04:22:38 | 400 |            0s | 172.20.10.6 | POST | /login | -
04:22:45 | 401 |      167.45ms | 172.20.10.6 | POST | /login | -
04:22:55 | 400 |            0s | 172.20.10.6 | POST | /login | -
04:23:08 | 401 |    173.9824ms | 172.20.10.6 | POST | /login | -
04:24:02 | 401 |    180.0429ms | 172.20.10.6 | POST | /login | -
04:24:19 | 400 |            0s | 172.20.10.6 | POST | /login | -
04:24:26 | 400 |            0s | 172.20.10.6 | POST | /login | -
04:24:32 | 401 |    189.3184ms | 172.20.10.6 | POST | /login | -
04:24:39 | 400 |            0s | 172.20.10.6 | POST | /login | -
04:24:47 | 400 |            0s | 172.20.10.6 | POST | /login | -
04:27:54 | 400 |            0s | 172.20.10.6 | POST | /login | -
04:28:09 | 401 |    166.4561ms | 172.20.10.6 | POST | /login | -
